Fold,Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
1,XGBoost,0.74,0.5643939393939393,0.18181818181818182,0.3333333333333333,0.23529411764705882,0.6415719696969697,0.16774129721795952
1,Random Forest,0.75,0.6060606060606061,0.21739130434782608,0.4166666666666667,0.2857142857142857,0.7128314393939393,0.19420306051907377
1,EBM,0.88,0.5,0.0,0.0,0.0,0.6775568181818181,0.24606741966020024
2,XGBoost,0.75,0.6060606060606061,0.21739130434782608,0.4166666666666667,0.2857142857142857,0.6872632575757576,0.21426727450217795
2,Random Forest,0.75,0.6060606060606061,0.21739130434782608,0.4166666666666667,0.2857142857142857,0.7284564393939394,0.24897638755197143
2,EBM,0.88,0.5,0.0,0.0,0.0,0.71875,0.22389600753769337
3,XGBoost,0.7336683417085427,0.6148809523809524,0.21568627450980393,0.4583333333333333,0.29333333333333333,0.7114285714285715,0.2373446604952446
3,Random Forest,0.7537688442211056,0.6083333333333334,0.2222222222222222,0.4166666666666667,0.2898550724637681,0.6926190476190477,0.23138811991606412
3,EBM,0.8793969849246231,0.5,0.0,0.0,0.0,0.7166666666666666,0.2765851446616045
4,XGBoost,0.7688442211055276,0.6528571428571428,0.2608695652173913,0.5,0.34285714285714286,0.7285714285714285,0.24590822438351426
4,Random Forest,0.7989949748743719,0.6879761904761905,0.30952380952380953,0.5416666666666666,0.3939393939393939,0.795,0.34226654576441096
4,EBM,0.8793969849246231,0.5,0.0,0.0,0.0,0.8211904761904762,0.4231545190021811
5,XGBoost,0.7788944723618091,0.5915266798418972,0.21621621621621623,0.34782608695652173,0.26666666666666666,0.6492094861660079,0.17833448220689002
5,Random Forest,0.7638190954773869,0.6774950592885376,0.26,0.5652173913043478,0.3561643835616438,0.737401185770751,0.2636663755366859
5,EBM,0.8844221105527639,0.5,0.0,0.0,0.0,0.770998023715415,0.28689222103005224
