Model,Feature,Mean,SD,CV
EBM,AGE,0.1228,0.0297,0.2417
EBM,APOE,0.0915,0.0123,0.1343
EBM,CDGLOBAL,0.0294,0.0048,0.1627
EBM,CDRSB,0.2667,0.0479,0.1797
EBM,MMSCORE,0.2631,0.0355,0.1349
EBM,PTEDUCAT,0.0324,0.0184,0.5699
EBM,PTETHCAT,0.0086,0.0031,0.3564
EBM,PTGENDER,0.0251,0.0078,0.3114
EBM,PTRACCAT,0.0248,0.0023,0.0945
Random Forest,AGE,0.0533,0.0065,0.1213
Random Forest,APOE,0.0187,0.002,0.1064
Random Forest,CDGLOBAL,0.0024,0.0007,0.276
Random Forest,CDRSB,0.0927,0.0116,0.1256
Random Forest,MMSCORE,0.094,0.008,0.0854
Random Forest,PTEDUCAT,0.0246,0.0026,0.1053
Random Forest,PTETHCAT,0.001,0.0003,0.3013
Random Forest,PTGENDER,0.0092,0.0018,0.1963
Random Forest,PTRACCAT,0.0028,0.0008,0.2966
XGBoost,AGE,0.7087,0.054,0.0762
XGBoost,APOE,0.1329,0.0156,0.1174
XGBoost,CDGLOBAL,0.019,0.0076,0.3996
XGBoost,CDRSB,0.6106,0.1051,0.1721
XGBoost,MMSCORE,0.648,0.0802,0.1237
XGBoost,PTEDUCAT,0.2647,0.0192,0.0726
XGBoost,PTETHCAT,0.0128,0.0042,0.3314
XGBoost,PTGENDER,0.0537,0.0227,0.423
XGBoost,PTRACCAT,0.0246,0.0075,0.3061
